latitude,longitude,chi,elevation,flow distance,drainage area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
25.51002,91.9524116,18.375,1542,94620,1.8248e+07,74.661,163.74,0,0,1535.7,0
25.5104715,91.9524077,18.348,1539,94570,1.827e+07,74.661,163.74,0,0,1533.7,0
25.5109194,91.9519063,18.31,1527,94499,1.8298e+07,74.661,163.74,0,0,1530.8,0
25.5113708,91.9519024,18.283,1527,94449,1.8322e+07,74.661,163.74,0,0,1528.8,0
25.5118223,91.9518985,18.256,1524,94399,1.8405e+07,74.661,163.74,0,0,1526.8,0
25.5122737,91.9518946,18.229,1524,94349,1.844e+07,74.661,163.74,0,0,1524.8,0
25.5127252,91.9518906,18.203,1523,94299,1.8452e+07,74.661,163.74,0,0,1522.8,0
25.5131766,91.9518867,18.176,1521,94249,1.8475e+07,74.661,163.74,0,0,1520.8,0
25.5136281,91.9518828,18.149,1520,94199,1.849e+07,74.661,163.74,0,0,1518.8,0
25.5140831,91.9523764,18.111,1517,94129,1.8508e+07,74.661,163.74,0,0,1515.9,0
25.5145381,91.95287,18.073,1512,94058,1.8588e+07,74.661,163.74,0,0,1513.1,0
25.5149931,91.9533636,18.035,1512,93987,1.8685e+07,74.661,163.74,0,0,1510.3,0
25.5154481,91.9538571,17.997,1512,93917,1.87e+07,74.661,163.74,0,0,1507.4,0
25.5159031,91.9543507,17.96,1512,93846,1.8768e+07,157.8,-1313,0,0,1521,1
25.5163545,91.9543468,17.933,1509,93796,1.8808e+07,157.8,-1313,0,0,1516.8,1
25.516806,91.9543429,17.906,1508,93746,1.8825e+07,157.8,-1313,0,0,1512.6,1
25.5172574,91.954339,17.88,1507,93696,1.8835e+07,157.8,-1313,0,0,1508.4,1
25.5177089,91.9543351,17.853,1505,93646,1.8845e+07,157.8,-1313,0,0,1504.2,1
25.5181603,91.9543312,17.826,1504,93596,1.886e+07,157.8,-1313,0,0,1500,1
25.5181568,91.9538337,17.8,1504,93546,1.8875e+07,157.8,-1313,0,0,1495.8,1
25.5181532,91.9533361,17.773,1504,93496,1.888e+07,157.8,-1313,0,0,1491.6,1
25.5181496,91.9528386,17.747,1502,93446,1.889e+07,157.8,-1313,0,0,1487.4,1
25.5181461,91.9523411,17.72,1499,93396,1.8892e+07,157.8,-1313,0,0,1483.2,1
25.5181425,91.9518436,17.693,1488,93346,1.8902e+07,157.8,-1313,0,0,1479,1
25.5185904,91.9513422,17.656,1456,93275,1.892e+07,157.8,-1313,0,0,1473.1,1
25.5190419,91.9513382,17.629,1456,93225,1.983e+07,157.8,-1313,0,0,1468.9,1
25.5194969,91.9518318,17.592,1456,93154,1.9838e+07,157.8,-1313,0,0,1463.1,1
25.5199519,91.9523254,17.556,1456,93084,1.9855e+07,157.8,-1313,0,0,1457.3,1
25.5204069,91.952819,17.519,1456,93013,1.9868e+07,157.8,-1313,0,0,1451.5,1
25.5208619,91.9533126,17.482,1456,92942,1.9878e+07,199.98,-2035.1,0,0,1461,2
25.5213169,91.9538063,17.445,1456,92872,1.9885e+07,199.98,-2035.1,0,0,1453.6,2
25.5217719,91.9542999,17.409,1456,92801,1.9892e+07,199.98,-2035.1,0,0,1446.3,2
25.5217754,91.9547974,17.383,1456,92751,2.016e+07,199.98,-2035.1,0,0,1441.1,2
25.521779,91.9552949,17.357,1443,92701,2.0165e+07,199.98,-2035.1,0,0,1435.9,2
25.5217825,91.9557925,17.331,1419,92651,2.0178e+07,199.98,-2035.1,0,0,1430.8,2
25.5217861,91.95629,17.305,1409,92601,2.0232e+07,199.98,-2035.1,0,0,1425.6,2
25.5222411,91.9567836,17.269,1409,92530,2.0275e+07,199.98,-2035.1,0,0,1418.3,2
25.5222446,91.9572812,17.243,1408,92480,2.0302e+07,199.98,-2035.1,0,0,1413.2,2
25.5222481,91.9577787,17.217,1408,92430,2.0312e+07,199.98,-2035.1,0,0,1408,2
25.5218002,91.9582801,17.181,1396,92359,2.0325e+07,199.98,-2035.1,0,0,1400.7,2
25.5213523,91.9587816,17.145,1393,92289,2.08e+07,199.98,-2035.1,0,0,1393.5,2
25.5218073,91.9592752,17.109,1393,92218,2.0808e+07,199.98,-2035.1,0,0,1386.3,2
25.5218108,91.9597727,17.083,1388,92168,2.0868e+07,199.98,-2035.1,0,0,1381.2,2
25.5222658,91.9602664,17.047,1384.1,92097,2.0902e+07,1.4764,1359.2,0,0,1384.4,3
25.5227208,91.96076,17.011,1384.1,92027,2.1025e+07,1.4764,1359.2,0,0,1384.3,3
25.5231722,91.9607561,16.986,1384.1,91977,2.1032e+07,1.4764,1359.2,0,0,1384.3,3
25.5236272,91.9612498,16.95,1384.1,91906,2.1048e+07,1.4764,1359.2,0,0,1384.3,3
25.5240822,91.9617434,16.914,1384.1,91835,2.1102e+07,1.4764,1359.2,0,0,1384.2,3
25.5245372,91.9622371,16.878,1384.1,91764,2.1108e+07,1.4764,1359.2,0,0,1384.2,3
25.5245407,91.9627346,16.853,1384.1,91714,2.1112e+07,1.4764,1359.2,0,0,1384.1,3
25.5249957,91.9632283,16.817,1384.1,91644,2.1138e+07,1.4764,1359.2,0,0,1384.1,3
25.5254506,91.963722,16.782,1384.1,91573,2.1142e+07,1.4764,1359.2,0,0,1384,3
25.5259056,91.9642156,16.746,1384.1,91502,2.1148e+07,1.4764,1359.2,0,0,1384,3
25.5263606,91.9647093,16.71,1384,91432,2.6352e+07,1.4764,1359.2,0,0,1383.9,3
25.5259126,91.9652107,16.678,1384,91361,2.642e+07,1.4764,1359.2,0,0,1383.9,3
25.5263676,91.9657044,16.645,1384,91290,2.6908e+07,1.4764,1359.2,0,0,1383.8,3
25.5268225,91.9661981,16.613,1384,91219,2.6928e+07,1.4764,1359.2,0,0,1383.8,3
25.5263746,91.9666995,16.581,1384,91149,2.697e+07,1.4764,1359.2,0,0,1383.7,3
25.5259267,91.9672009,16.549,1384,91078,2.6988e+07,1.4764,1359.2,0,0,1383.7,3
25.5263816,91.9676946,16.517,1384,91007,2.7045e+07,1.4764,1359.2,0,0,1383.6,3
25.5259337,91.968196,16.485,1384,90937,2.7198e+07,1.4764,1359.2,0,0,1383.6,3
25.5259372,91.9686936,16.463,1384,90887,2.7218e+07,1.4764,1359.2,0,0,1383.5,3
25.5259407,91.9691911,16.44,1384,90837,2.7225e+07,1.4764,1359.2,0,0,1383.5,3
25.5259442,91.9696887,16.418,1384,90787,2.7245e+07,1.4764,1359.2,0,0,1383.5,3
25.5259477,91.9701862,16.395,1384,90737,2.726e+07,1.4764,1359.2,0,0,1383.4,3
25.5259512,91.9706838,16.373,1384,90687,2.727e+07,1.4764,1359.2,0,0,1383.4,3
25.5259547,91.9711813,16.35,1381,90637,2.7272e+07,1.4764,1359.2,0,0,1383.4,3
25.5255067,91.9716827,16.318,1372,90566,2.7278e+07,83.957,-10.089,0,0,1359.9,4
25.5259616,91.9721764,16.286,1360,90495,3.2685e+07,83.957,-10.089,0,0,1357.3,4
25.5264166,91.9726702,16.257,1348,90424,3.27e+07,83.957,-10.089,0,0,1354.8,4
25.5268715,91.9731639,16.228,1348,90354,3.2992e+07,83.957,-10.089,0,0,1352.3,4
25.527323,91.97316,16.207,1348,90304,3.3015e+07,83.957,-10.089,0,0,1350.6,4
25.5277744,91.9731562,16.186,1348,90254,3.3035e+07,83.957,-10.089,0,0,1348.9,4
25.5282259,91.9731523,16.165,1348,90204,3.3038e+07,83.957,-10.089,0,0,1347.1,4
25.5286773,91.9731485,16.145,1338,90154,3.3145e+07,83.957,-10.089,0,0,1345.4,4
25.5291288,91.9731446,16.124,1338,90104,3.3162e+07,83.957,-10.089,0,0,1343.7,4
25.5295837,91.9736384,16.095,1338,90033,3.321e+07,83.957,-10.089,0,0,1341.2,4
25.5300352,91.9736345,16.074,1338,89983,3.3225e+07,83.957,-10.089,0,0,1339.5,4
25.5304901,91.9741283,16.045,1338,89912,3.3245e+07,83.957,-10.089,0,0,1337,4
25.530945,91.974622,16.016,1338,89842,3.373e+07,83.957,-10.089,0,0,1334.6,4
25.5314,91.9751157,15.987,1338,89771,3.3812e+07,83.957,-10.089,0,0,1332.1,4
25.530952,91.9756171,15.958,1338,89700,3.3835e+07,58.884,392.6,0,0,1332.3,5
25.530504,91.9761185,15.929,1336,89630,3.386e+07,58.884,392.6,0,0,1330.6,5
25.5305075,91.9766161,15.909,1333,89580,3.3865e+07,58.884,392.6,0,0,1329.4,5
25.5300595,91.9771175,15.88,1333,89509,3.3898e+07,58.884,392.6,0,0,1327.7,5
25.530063,91.9776151,15.859,1333,89459,3.391e+07,58.884,392.6,0,0,1326.5,5
25.5305179,91.9781088,15.831,1332,89388,3.3932e+07,58.884,392.6,0,0,1324.8,5
25.5305214,91.9786064,15.81,1326,89338,3.404e+07,58.884,392.6,0,0,1323.6,5
25.5300734,91.9791078,15.781,1325,89267,3.4045e+07,58.884,392.6,0,0,1321.9,5
25.5296254,91.9796092,15.752,1313,89197,3.4115e+07,58.884,392.6,0,0,1320.2,5
25.5296289,91.9801067,15.732,1310,89147,3.5032e+07,58.884,392.6,0,0,1319,5
25.5300838,91.9806005,15.704,1309,89076,3.5142e+07,58.884,392.6,0,0,1317.3,5
25.5305387,91.9810943,15.675,1309,89005,3.5188e+07,58.884,392.6,0,0,1315.6,5
25.5305422,91.9815918,15.655,1309,88955,3.5688e+07,58.884,392.6,0,0,1314.4,5
25.5305456,91.9820894,15.635,1309,88905,3.5692e+07,58.884,392.6,0,0,1313.3,5
25.5310005,91.9825832,15.607,1309,88835,3.572e+07,58.884,392.6,0,0,1311.6,5
25.5305525,91.9830845,15.579,1309,88764,3.5762e+07,58.884,392.6,0,0,1309.9,5
25.5301045,91.9835859,15.55,1309,88693,3.584e+07,58.884,392.6,0,0,1308.3,5
25.5296565,91.9840873,15.522,1309,88622,3.589e+07,58.884,392.6,0,0,1306.6,5
25.5292085,91.9845887,15.494,1309,88552,3.5918e+07,58.884,392.6,0,0,1305,5
25.5287605,91.98509,15.466,1307,88481,3.5965e+07,58.884,392.6,0,0,1303.3,5
25.528764,91.9855876,15.446,1301,88431,3.602e+07,58.884,392.6,0,0,1302.1,5
25.5292189,91.9860814,15.418,1300,88360,3.6032e+07,58.884,392.6,0,0,1300.5,5
25.5296738,91.9865751,15.39,1299,88290,3.6045e+07,58.884,392.6,0,0,1298.8,5
25.5301287,91.9870689,15.362,1296,88219,3.6052e+07,58.884,392.6,0,0,1297.2,5
25.5305835,91.9875627,15.334,1290,88148,3.7258e+07,58.884,392.6,0,0,1295.5,5
25.5310384,91.9880565,15.306,1290,88077,3.7315e+07,58.884,392.6,0,0,1293.9,5
25.5314899,91.9880527,15.286,1290,88027,3.734e+07,58.884,392.6,0,0,1292.7,5
25.5319448,91.9885465,15.259,1285.1,87957,3.7352e+07,58.884,392.6,0,0,1291.1,5
25.5319482,91.9890441,15.239,1285.1,87907,3.7502e+07,58.884,392.6,0,0,1289.9,5
25.5324031,91.9895379,15.211,1285.1,87836,3.7662e+07,58.884,392.6,0,0,1288.3,5
25.5319551,91.9900392,15.184,1285.1,87765,3.7685e+07,58.884,392.6,0,0,1286.7,5
25.53241,91.990533,15.156,1285.1,87695,3.7708e+07,58.884,392.6,0,0,1285.1,5
25.5319619,91.9910344,15.129,1285,87624,3.7755e+07,58.884,392.6,0,0,1283.4,5
25.5319654,91.991532,15.109,1285,87574,3.778e+07,58.884,392.6,0,0,1282.3,5
25.5319688,91.9920295,15.09,1285,87524,3.78e+07,58.884,392.6,0,0,1281.2,5
25.5324237,91.9925233,15.062,1285,87453,3.7818e+07,58.884,392.6,0,0,1279.5,5
25.5328785,91.9930172,15.035,1285,87382,3.792e+07,58.884,392.6,0,0,1277.9,5
25.5324305,91.9935185,15.007,1285,87312,3.7968e+07,73.31,194.59,0,0,1294.8,6
25.5328854,91.9940123,14.98,1285,87241,3.8148e+07,73.31,194.59,0,0,1292.8,6
25.5324373,91.9945137,14.952,1285,87170,3.8162e+07,73.31,194.59,0,0,1290.7,6
25.5319893,91.995015,14.925,1285,87100,3.8438e+07,73.31,194.59,0,0,1288.7,6
25.5315413,91.9955163,14.898,1285,87029,3.8472e+07,73.31,194.59,0,0,1286.7,6
25.5310932,91.9960177,14.87,1285,86958,3.849e+07,73.31,194.59,0,0,1284.7,6
25.5306452,91.996519,14.843,1285,86887,3.8852e+07,73.31,194.59,0,0,1282.7,6
25.5301971,91.9970203,14.816,1285,86817,3.8875e+07,73.31,194.59,0,0,1280.7,6
25.5297491,91.9975217,14.789,1285,86746,3.8962e+07,73.31,194.59,0,0,1278.8,6
25.5297525,91.9980192,14.77,1284,86696,3.8985e+07,73.31,194.59,0,0,1277.3,6
25.5293044,91.9985206,14.742,1283,86625,3.9035e+07,73.31,194.59,0,0,1275.4,6
25.5293078,91.9990181,14.723,1283,86575,3.9078e+07,73.31,194.59,0,0,1273.9,6
25.5293112,91.9995157,14.704,1278,86525,3.908e+07,73.31,194.59,0,0,1272.5,6
25.5293146,92.0000133,14.685,1268,86475,3.9152e+07,73.31,194.59,0,0,1271.1,6
25.529318,92.0005108,14.666,1268,86425,3.916e+07,73.31,194.59,0,0,1269.7,6
25.5293214,92.0010084,14.647,1267,86375,3.9485e+07,73.31,194.59,0,0,1268.3,6
25.5293248,92.001506,14.628,1267,86325,3.9492e+07,73.31,194.59,0,0,1266.9,6
25.5293282,92.0020035,14.608,1260,86275,4.0005e+07,73.31,194.59,0,0,1265.5,6
25.5293316,92.0025011,14.589,1260,86225,4.0032e+07,73.31,194.59,0,0,1264.1,6
25.529335,92.0029987,14.571,1260,86175,4.0055e+07,73.31,194.59,0,0,1262.8,6
25.5293384,92.0034963,14.552,1260,86125,4.009e+07,73.31,194.59,0,0,1261.4,6
25.5293417,92.0039938,14.533,1260,86075,4.0108e+07,73.31,194.59,0,0,1260,6
25.5297966,92.0044877,14.506,1260,86005,4.019e+07,90.609,-50.568,0,0,1263.8,7
25.5298,92.0049852,14.487,1260,85955,4.021e+07,90.609,-50.568,0,0,1262.1,7
25.5293519,92.0054865,14.46,1260,85884,4.0242e+07,90.609,-50.568,0,0,1259.6,7
25.5293553,92.0059841,14.441,1260,85834,4.026e+07,90.609,-50.568,0,0,1257.9,7
25.5293586,92.0064817,14.422,1260,85784,4.0408e+07,90.609,-50.568,0,0,1256.2,7
25.529362,92.0069793,14.403,1260,85734,4.041e+07,90.609,-50.568,0,0,1254.5,7
25.5293654,92.0074768,14.385,1254,85684,4.0445e+07,90.609,-50.568,0,0,1252.8,7
25.5293687,92.0079744,14.366,1250,85634,4.052e+07,90.609,-50.568,0,0,1251.1,7
25.5293721,92.008472,14.347,1249,85584,4.054e+07,90.609,-50.568,0,0,1249.4,7
25.5293755,92.0089695,14.328,1247,85534,4.0548e+07,90.609,-50.568,0,0,1247.7,7
25.5289274,92.0094708,14.301,1242,85463,4.1968e+07,90.609,-50.568,0,0,1245.3,7
25.5293822,92.0099647,14.275,1240,85393,4.198e+07,90.609,-50.568,0,0,1242.9,7
25.5293856,92.0104622,14.256,1237,85343,4.2095e+07,33.971,752.82,0,0,1237.1,8
25.5298404,92.0109561,14.23,1237,85272,4.2135e+07,33.971,752.82,0,0,1236.2,8
25.5302918,92.0109524,14.212,1232,85222,4.2152e+07,33.971,752.82,0,0,1235.6,8
25.5307467,92.0114463,14.186,1232,85151,4.2168e+07,33.971,752.82,0,0,1234.7,8
25.5312015,92.0119402,14.159,1232,85080,4.2182e+07,33.971,752.82,0,0,1233.8,8
25.5316563,92.0124341,14.133,1232,85010,4.2188e+07,33.971,752.82,0,0,1232.9,8
25.5321111,92.0129279,14.107,1232,84939,4.3498e+07,33.971,752.82,0,0,1232.1,8
25.5325659,92.0134218,14.081,1232,84868,4.3542e+07,33.971,752.82,0,0,1231.2,8
25.5321178,92.0139231,14.055,1232,84798,4.3592e+07,33.971,752.82,0,0,1230.3,8
25.5316697,92.0144244,14.029,1232,84727,4.3692e+07,33.971,752.82,0,0,1229.4,8
25.531673,92.014922,14.011,1232,84677,4.3712e+07,33.971,752.82,0,0,1228.8,8
25.5316764,92.0154195,13.993,1232,84627,4.3718e+07,33.971,752.82,0,0,1228.2,8
25.5316797,92.0159171,13.975,1224,84577,4.3778e+07,33.971,752.82,0,0,1227.6,8
25.5316831,92.0164147,13.957,1224,84527,4.3815e+07,33.971,752.82,0,0,1226.9,8
25.5316864,92.0169123,13.938,1224,84477,4.3828e+07,33.971,752.82,0,0,1226.3,8
25.5316897,92.0174099,13.92,1224,84427,4.3845e+07,33.971,752.82,0,0,1225.7,8
25.5316931,92.0179074,13.902,1224,84377,4.387e+07,33.971,752.82,0,0,1225.1,8
25.5312449,92.0184087,13.876,1224,84306,4.393e+07,33.971,752.82,0,0,1224.2,8
25.5312483,92.0189063,13.858,1224,84256,4.396e+07,33.971,752.82,0,0,1223.6,8
25.5308002,92.0194075,13.832,1220,84185,4.406e+07,33.971,752.82,0,0,1222.7,8
25.5308035,92.0199051,13.814,1220,84135,4.426e+07,33.971,752.82,0,0,1222.1,8
25.5308068,92.0204027,13.796,1220,84085,4.429e+07,33.971,752.82,0,0,1221.5,8
25.5308101,92.0209003,13.778,1220,84035,4.43e+07,33.971,752.82,0,0,1220.9,8
25.5312649,92.0213942,13.752,1220,83965,4.4348e+07,33.971,752.82,0,0,1220,8
25.5317197,92.0218881,13.727,1220,83894,4.4368e+07,33.971,752.82,0,0,1219.1,8
25.5321745,92.022382,13.701,1220,83823,4.4415e+07,33.971,752.82,0,0,1218.3,8
25.5317263,92.0228833,13.676,1220,83753,4.5078e+07,33.971,752.82,0,0,1217.4,8
25.5312782,92.0233845,13.65,1220,83682,4.509e+07,33.971,752.82,0,0,1216.5,8
25.5308301,92.0238857,13.625,1220,83611,4.511e+07,33.971,752.82,0,0,1215.7,8
25.5303819,92.024387,13.599,1220,83540,4.514e+07,33.971,752.82,0,0,1214.8,8
25.5303852,92.0248846,13.581,1220,83490,4.5162e+07,33.971,752.82,0,0,1214.2,8
25.5303885,92.0253821,13.563,1220,83440,4.5172e+07,33.971,752.82,0,0,1213.6,8
25.5299404,92.0258834,13.538,1211,83370,4.5218e+07,33.971,752.82,0,0,1212.7,8
25.5299437,92.0263809,13.52,1211,83320,4.5235e+07,33.971,752.82,0,0,1212.1,8
25.5294955,92.0268822,13.495,1211,83249,4.6485e+07,33.971,752.82,0,0,1211.3,8
25.5290474,92.0273834,13.47,1210,83178,4.6525e+07,33.971,752.82,0,0,1210.4,8
25.5295022,92.0278773,13.444,1210,83108,4.655e+07,33.971,752.82,0,0,1209.6,8
25.529054,92.0283785,13.419,1210,83037,4.6925e+07,33.971,752.82,0,0,1208.7,8
25.5295088,92.0288724,13.394,1210,82966,4.6952e+07,33.971,752.82,0,0,1207.9,8
25.5299635,92.0293664,13.369,1209,82895,4.6968e+07,33.971,752.82,0,0,1207,8
25.5304183,92.0298603,13.345,1203,82825,4.704e+07,33.971,752.82,0,0,1206.2,8
25.5304216,92.0303579,13.327,1202.1,82775,4.7075e+07,33.971,752.82,0,0,1205.6,8
25.5304248,92.0308555,13.309,1202,82725,4.7092e+07,33.971,752.82,0,0,1205,8
25.5304281,92.0313531,13.292,1202,82675,4.713e+07,33.971,752.82,0,0,1204.4,8
25.5304314,92.0318507,13.274,1202,82625,4.7152e+07,33.971,752.82,0,0,1203.8,8
25.5304347,92.0323482,13.256,1202,82575,4.7198e+07,33.971,752.82,0,0,1203.2,8
25.530438,92.0328458,13.239,1202,82525,4.7218e+07,33.971,752.82,0,0,1202.6,8
25.5304413,92.0333434,13.221,1202,82475,4.7238e+07,33.971,752.82,0,0,1202,8
25.5304446,92.033841,13.204,1202,82425,4.7242e+07,22.694,904.37,0,0,1204,9
25.5308993,92.0343349,13.179,1202,82354,4.7955e+07,22.694,904.37,0,0,1203.4,9
25.5309026,92.0348325,13.161,1202,82304,4.7975e+07,22.694,904.37,0,0,1203,9
25.5309059,92.0353301,13.144,1202,82254,4.7982e+07,22.694,904.37,0,0,1202.6,9
25.5313606,92.0358241,13.119,1202,82183,4.8018e+07,22.694,904.37,0,0,1202.1,9
25.5313639,92.0363216,13.102,1199.1,82133,4.8038e+07,22.694,904.37,0,0,1201.7,9
25.5313671,92.0368192,13.084,1199.1,82083,4.8042e+07,22.694,904.37,0,0,1201.3,9
25.5318219,92.0373132,13.059,1199,82013,4.809e+07,22.694,904.37,0,0,1200.7,9
25.5313737,92.0378144,13.035,1199,81942,4.8095e+07,22.694,904.37,0,0,1200.2,9
25.5318284,92.0383084,13.01,1199,81871,4.813e+07,22.694,904.37,0,0,1199.6,9
25.5313802,92.0388096,12.985,1199,81800,5.3965e+07,22.694,904.37,0,0,1199.1,9
25.5318349,92.0393036,12.962,1199,81730,5.4008e+07,22.694,904.37,0,0,1198.5,9
25.5322897,92.0397975,12.938,1199,81659,5.403e+07,22.694,904.37,0,0,1198,9
25.5318415,92.0402987,12.915,1199,81588,5.4098e+07,22.694,904.37,0,0,1197.5,9
25.5322962,92.0407927,12.892,1199,81518,5.4118e+07,22.694,904.37,0,0,1196.9,9
25.5327509,92.0412867,12.868,1199,81447,5.435e+07,22.694,904.37,0,0,1196.4,9
25.5323027,92.0417879,12.845,1199,81376,5.4372e+07,22.694,904.37,0,0,1195.9,9
25.5327574,92.0422819,12.821,1199,81305,5.4428e+07,22.694,904.37,0,0,1195.3,9
25.5327607,92.0427795,12.805,1199,81255,5.463e+07,22.694,904.37,0,0,1195,9
25.5327639,92.0432771,12.788,1199,81205,5.464e+07,22.694,904.37,0,0,1194.6,9
25.5323157,92.0437783,12.765,1199,81135,5.465e+07,22.694,904.37,0,0,1194.1,9
25.5323189,92.0442758,12.749,1193,81085,5.4665e+07,22.694,904.37,0,0,1193.7,9
25.5318707,92.044777,12.725,1191,81014,5.5548e+07,22.694,904.37,0,0,1193.2,9
25.531874,92.0452746,12.709,1190,80964,5.5582e+07,22.694,904.37,0,0,1192.8,9
25.5323287,92.0457686,12.686,1190,80893,5.5605e+07,22.694,904.37,0,0,1192.3,9
25.5323319,92.0462662,12.669,1188,80843,5.5628e+07,22.694,904.37,0,0,1191.9,9
25.5323351,92.0467638,12.653,1188,80793,5.5645e+07,22.694,904.37,0,0,1191.5,9
25.5318869,92.0472649,12.63,1188,80723,5.567e+07,22.694,904.37,0,0,1191,9
25.5318902,92.0477625,12.614,1188,80673,5.57e+07,22.694,904.37,0,0,1190.6,9
25.5318934,92.0482601,12.597,1188,80623,5.5712e+07,22.694,904.37,0,0,1190.2,9
25.5314452,92.0487613,12.574,1187,80552,5.5758e+07,22.694,904.37,0,0,1189.7,9
25.5314484,92.0492588,12.558,1187,80502,5.577e+07,22.694,904.37,0,0,1189.4,9
25.5310002,92.04976,12.535,1187,80431,5.5782e+07,8.8565,1062.2,0,0,1173.2,10
25.5305519,92.0502611,12.512,1173,80361,5.5812e+07,8.8565,1062.2,0,0,1173,10
25.5305552,92.0507587,12.495,1173,80311,5.582e+07,8.8565,1062.2,0,0,1172.8,10
25.5301069,92.0512598,12.472,1173,80240,5.6278e+07,8.8565,1062.2,0,0,1172.6,10
25.5301101,92.0517574,12.456,1173,80190,5.6292e+07,8.8565,1062.2,0,0,1172.5,10
25.5301134,92.052255,12.44,1173,80140,5.631e+07,8.8565,1062.2,0,0,1172.3,10
25.530568,92.052749,12.417,1173,80069,5.632e+07,8.8565,1062.2,0,0,1172.1,10
25.5310227,92.0532431,12.394,1173,79998,6.0165e+07,8.8565,1062.2,0,0,1171.9,10
25.5314774,92.0537371,12.371,1173,79928,6.0198e+07,8.8565,1062.2,0,0,1171.7,10
25.5310291,92.0542382,12.349,1173,79857,6.0232e+07,8.8565,1062.2,0,0,1171.5,10
25.5314838,92.0547323,12.327,1173,79786,6.1108e+07,8.8565,1062.2,0,0,1171.3,10
25.5310356,92.0552334,12.305,1173,79716,6.114e+07,8.8565,1062.2,0,0,1171.1,10
25.5305873,92.0557345,12.282,1173,79645,6.115e+07,8.8565,1062.2,0,0,1170.9,10
25.5305905,92.0562321,12.267,1168.1,79595,6.1162e+07,8.8565,1062.2,0,0,1170.8,10
25.5305937,92.0567297,12.251,1168.1,79545,6.1168e+07,8.8565,1062.2,0,0,1170.7,10
25.5301455,92.0572308,12.229,1168.1,79474,6.1312e+07,8.8565,1062.2,0,0,1170.5,10
25.5306001,92.0577249,12.207,1168.1,79403,6.1318e+07,8.8565,1062.2,0,0,1170.3,10
25.5310548,92.0582189,12.185,1168.1,79333,6.1332e+07,8.8565,1062.2,0,0,1170.1,10
25.5306065,92.05872,12.163,1168.1,79262,6.1398e+07,8.8565,1062.2,0,0,1169.9,10
25.5301583,92.0592211,12.14,1168.1,79191,6.1405e+07,8.8565,1062.2,0,0,1169.7,10
25.52971,92.0597222,12.118,1168.1,79121,6.141e+07,8.8565,1062.2,0,0,1169.5,10
25.5292617,92.0602233,12.096,1168.1,79050,6.1422e+07,8.8565,1062.2,0,0,1169.3,10
25.5288135,92.0607244,12.074,1168.1,78979,6.149e+07,8.8565,1062.2,0,0,1169.1,10
25.5283652,92.0612255,12.052,1168.1,78908,6.1498e+07,8.8565,1062.2,0,0,1168.9,10
25.5279169,92.0617266,12.03,1168.1,78838,6.1502e+07,8.8565,1062.2,0,0,1168.7,10
25.5274654,92.0617301,12.014,1168.1,78788,6.151e+07,8.8565,1062.2,0,0,1168.6,10
25.5270172,92.0622312,11.992,1168.1,78717,6.1515e+07,8.8565,1062.2,0,0,1168.4,10
25.5265689,92.0627323,11.97,1168.1,78646,6.152e+07,8.8565,1062.2,0,0,1168.2,10
